item,itemLabel,insee,pop,area,popDate
http://www.wikidata.org/entity/Q1003614,Catteville,50105,99,4.57,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,450,9.39,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003503,Courtils,50146,257,5.39,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003614,Catteville,50105,98,4.57,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003510,Domjean,50164,838,16.57,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003614,Catteville,50105,97,4.57,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,450,9.39,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003614,Catteville,50105,96,4.57,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003614,Catteville,50105,100,4.57,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003510,Domjean,50164,748,16.57,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,439,9.39,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003614,Catteville,50105,103,4.57,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,429,11.16,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003596,Catz,50107,109,2.78,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,433,9.39,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,439,9.39,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,427,9.39,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003503,Courtils,50146,250,5.39,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,423,9.39,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,419,9.39,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003440,Montjoie-Saint-Martin,50347,322,7.49,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,1802,26.16,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,415,9.39,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,173,5.79,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,414,9.39,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003510,Domjean,50164,748,16.57,1982-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1003567,Aucey-la-Plaine,50019,413,9.39,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,466,11.16,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003503,Courtils,50146,227,5.39,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003596,Catz,50107,118,2.78,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,181,5.79,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003503,Courtils,50146,215,5.39,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,193,5.79,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003503,Courtils,50146,221,5.39,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,491,11.16,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003560,Braffais,50071,192,5.79,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,510,11.16,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,1847,26.16,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,374,4.1,2006-01-01T00:00:00Z
